Date,Visitor,G,Home,G,,Att.,LOG,Notes
2011-04-13,Nashville Predators,4,Anaheim Ducks,1,,,,
2011-04-13,Phoenix Coyotes,2,Detroit Red Wings,4,,,,
2011-04-13,Tampa Bay Lightning,0,Pittsburgh Penguins,3,,,,
2011-04-13,Chicago Blackhawks,0,Vancouver Canucks,2,,,,
2011-04-13,New York Rangers,1,Washington Capitals,2,OT,,,
2011-04-14,Montreal Canadiens,2,Boston Bruins,0,,,,
2011-04-14,Buffalo Sabres,1,Philadelphia Flyers,0,,,,
2011-04-14,Los Angeles Kings,2,San Jose Sharks,3,OT,,,
2011-04-15,Nashville Predators,3,Anaheim Ducks,5,,,,
2011-04-15,Tampa Bay Lightning,5,Pittsburgh Penguins,1,,,,
2011-04-15,Chicago Blackhawks,3,Vancouver Canucks,4,,,,
2011-04-15,New York Rangers,0,Washington Capitals,2,,,,
2011-04-16,Montreal Canadiens,3,Boston Bruins,1,,,,
2011-04-16,Phoenix Coyotes,3,Detroit Red Wings,4,,,,
2011-04-16,Buffalo Sabres,4,Philadelphia Flyers,5,,,,
2011-04-16,Los Angeles Kings,4,San Jose Sharks,0,,,,
2011-04-17,Vancouver Canucks,3,Chicago Blackhawks,2,,,,
2011-04-17,Anaheim Ducks,3,Nashville Predators,4,,,,
2011-04-17,Washington Capitals,2,New York Rangers,3,,,,
2011-04-18,Philadelphia Flyers,4,Buffalo Sabres,2,,,,
2011-04-18,Boston Bruins,4,Montreal Canadiens,2,,,,
2011-04-18,Detroit Red Wings,4,Phoenix Coyotes,2,,,,
2011-04-18,Pittsburgh Penguins,3,Tampa Bay Lightning,2,,,,
2011-04-19,Vancouver Canucks,2,Chicago Blackhawks,7,,,,
2011-04-19,San Jose Sharks,6,Los Angeles Kings,5,OT,,,
2011-04-20,Philadelphia Flyers,0,Buffalo Sabres,1,,,,
2011-04-20,Anaheim Ducks,6,Nashville Predators,3,,,,
2011-04-20,Washington Capitals,4,New York Rangers,3,2OT,,,
2011-04-20,Detroit Red Wings,6,Phoenix Coyotes,3,,,,
2011-04-20,Pittsburgh Penguins,3,Tampa Bay Lightning,2,2OT,,,
2011-04-21,San Jose Sharks,6,Los Angeles Kings,3,,,,
2011-04-21,Boston Bruins,5,Montreal Canadiens,4,OT,,,
2011-04-21,Chicago Blackhawks,5,Vancouver Canucks,0,,,,
2011-04-22,Nashville Predators,4,Anaheim Ducks,3,OT,,,
2011-04-22,Buffalo Sabres,4,Philadelphia Flyers,3,OT,,,
2011-04-23,Montreal Canadiens,1,Boston Bruins,2,2OT,,,
2011-04-23,Tampa Bay Lightning,8,Pittsburgh Penguins,2,,,,
2011-04-23,Los Angeles Kings,3,San Jose Sharks,1,,,,
2011-04-23,New York Rangers,1,Washington Capitals,3,,,,
2011-04-24,Philadelphia Flyers,5,Buffalo Sabres,4,OT,,,
2011-04-24,Vancouver Canucks,3,Chicago Blackhawks,4,OT,,,
2011-04-24,Anaheim Ducks,2,Nashville Predators,4,,,,
2011-04-25,San Jose Sharks,4,Los Angeles Kings,3,OT,,,
2011-04-25,Pittsburgh Penguins,2,Tampa Bay Lightning,4,,,,
2011-04-26,Boston Bruins,1,Montreal Canadiens,2,,,,
2011-04-26,Buffalo Sabres,2,Philadelphia Flyers,5,,,,
2011-04-26,Chicago Blackhawks,1,Vancouver Canucks,2,OT,,,
2011-04-27,Montreal Canadiens,3,Boston Bruins,4,OT,,,
2011-04-27,Tampa Bay Lightning,1,Pittsburgh Penguins,0,,,,
2011-04-28,Nashville Predators,0,Vancouver Canucks,1,,,,
2011-04-29,Detroit Red Wings,1,San Jose Sharks,2,OT,,,
2011-04-29,Tampa Bay Lightning,4,Washington Capitals,2,,,,
2011-04-30,Boston Bruins,7,Philadelphia Flyers,3,,,,
2011-04-30,Nashville Predators,2,Vancouver Canucks,1,2OT,,,
2011-05-01,Detroit Red Wings,1,San Jose Sharks,2,,,,
2011-05-01,Tampa Bay Lightning,3,Washington Capitals,2,OT,,,
2011-05-02,Boston Bruins,3,Philadelphia Flyers,2,OT,,,
2011-05-03,Vancouver Canucks,3,Nashville Predators,2,OT,,,
2011-05-03,Washington Capitals,3,Tampa Bay Lightning,4,,,,
2011-05-04,Philadelphia Flyers,1,Boston Bruins,5,,,,
2011-05-04,San Jose Sharks,4,Detroit Red Wings,3,OT,,,
2011-05-04,Washington Capitals,3,Tampa Bay Lightning,5,,,,
2011-05-05,Vancouver Canucks,4,Nashville Predators,2,,,,
2011-05-06,Philadelphia Flyers,1,Boston Bruins,5,,,,
2011-05-06,San Jose Sharks,3,Detroit Red Wings,4,,,,
2011-05-07,Nashville Predators,4,Vancouver Canucks,3,,,,
2011-05-08,Detroit Red Wings,4,San Jose Sharks,3,,,,
2011-05-09,Vancouver Canucks,2,Nashville Predators,1,,,,
2011-05-10,San Jose Sharks,1,Detroit Red Wings,3,,,,
2011-05-12,Detroit Red Wings,2,San Jose Sharks,3,,,,
2011-05-14,Tampa Bay Lightning,5,Boston Bruins,2,,,,
2011-05-15,San Jose Sharks,2,Vancouver Canucks,3,,,,
2011-05-17,Tampa Bay Lightning,5,Boston Bruins,6,,,,
2011-05-18,San Jose Sharks,3,Vancouver Canucks,7,,,,
2011-05-19,Boston Bruins,2,Tampa Bay Lightning,0,,,,
2011-05-20,Vancouver Canucks,3,San Jose Sharks,4,,,,
2011-05-21,Boston Bruins,3,Tampa Bay Lightning,5,,,,
2011-05-22,Vancouver Canucks,4,San Jose Sharks,2,,,,
2011-05-23,Tampa Bay Lightning,1,Boston Bruins,3,,,,
2011-05-24,San Jose Sharks,2,Vancouver Canucks,3,2OT,,,
2011-05-25,Boston Bruins,4,Tampa Bay Lightning,5,,,,
2011-05-27,Tampa Bay Lightning,0,Boston Bruins,1,,,,
2011-06-01,Boston Bruins,0,Vancouver Canucks,1,,,,
2011-06-04,Boston Bruins,2,Vancouver Canucks,3,OT,,,
2011-06-06,Vancouver Canucks,1,Boston Bruins,8,,,,
2011-06-08,Vancouver Canucks,0,Boston Bruins,4,,,,
2011-06-10,Boston Bruins,0,Vancouver Canucks,1,,,,
2011-06-13,Vancouver Canucks,2,Boston Bruins,5,,,,
2011-06-15,Boston Bruins,4,Vancouver Canucks,0,,,,
